Inactivity_Duration_normalized,Movement_Activity,Movement_Lying,Movement_No Movement,Movement_Sitting,Movement_Walking,Location_Bathroom,Location_Bedroom,Location_Kitchen,Location_Living Room,Hour,Day,Is_Night,Fall_Detected,Alert_Triggered,Risk_Score,Predicted_Risk
0.0,0,False,True,False,False,False,False,True,False,16,7,0,0,0,0.0,0
0.0,0,True,False,False,False,False,False,False,True,15,20,0,0,0,0.0,0
0.0,0,False,True,False,False,False,True,False,False,2,2,1,0,0,0.0,0
0.0,0,True,False,False,False,False,False,True,False,22,1,1,0,0,0.0,1
0.0,0,False,True,False,False,False,True,False,False,16,3,0,0,0,0.0,0
0.0,0,False,False,True,False,False,True,False,False,12,19,0,0,0,0.0,0
0.0,0,True,False,False,False,True,False,False,False,10,4,0,0,0,0.0,0
0.0,0,True,False,False,False,False,True,False,False,7,21,0,0,0,0.0,0
0.0,0,False,False,True,False,False,False,True,False,23,10,1,0,0,0.0,1
0.0,0,False,False,True,False,False,False,True,False,16,4,0,0,0,0.0,0
0.0,0,False,False,False,True,False,True,False,False,7,13,0,0,0,0.0,0
0.0,0,False,False,True,False,True,False,False,False,6,9,0,0,0,0.0,0
0.0,0,False,True,False,False,False,False,True,False,22,1,1,0,0,0.0,1
0.0,0,False,False,False,True,False,False,False,True,10,17,0,0,0,0.0,0
0.0,0,False,False,False,True,False,True,False,False,1,29,1,0,0,0.0,1
0.0,0,False,False,True,False,False,True,False,False,2,23,1,0,0,0.0,0
0.0,0,False,False,False,True,False,False,False,True,10,13,0,0,0,0.0,0
0.0,0,False,False,True,False,True,False,False,False,12,4,0,0,0,0.0,0
0.0,0,False,True,False,False,False,False,False,True,8,6,0,0,0,0.0,0
0.0,0,False,False,True,False,False,False,False,True,21,11,0,0,0,0.0,0
0.0,0,False,False,False,True,True,False,False,False,16,1,0,0,0,0.0,0
0.0,0,False,False,False,True,False,False,False,True,17,20,0,0,0,0.0,0
0.7729549248747913,0,False,True,False,False,True,False,False,False,19,19,0,1,1,6.545909849749583,1
0.0,0,True,False,False,False,False,False,True,False,20,1,0,0,0,0.0,0
0.0,0,False,True,False,False,False,True,False,False,7,4,0,0,0,0.0,0
0.0,0,False,True,False,False,False,True,False,False,2,2,1,0,0,0.0,0
0.0,0,True,False,False,False,False,False,False,True,17,21,0,0,0,0.0,0
0.0,0,False,True,False,False,True,False,False,False,2,21,1,0,0,0.0,0
0.1569282136894824,0,False,True,False,False,False,False,True,False,22,3,1,1,0,5.313856427378965,1
0.0,0,False,False,True,False,True,False,False,False,11,18,0,0,0,0.0,0
0.0,0,False,True,False,False,False,False,False,True,16,9,0,0,0,0.0,0
0.0,0,False,False,False,True,False,True,False,False,20,5,0,0,0,0.0,0
0.0,0,False,False,False,True,False,False,False,True,12,15,0,0,0,0.0,0
0.0,0,False,True,False,False,True,False,False,False,15,17,0,0,0,0.0,0
0.0,0,False,True,False,False,False,True,False,False,14,17,0,0,0,0.0,0
0.0,0,True,False,False,False,False,True,False,False,18,5,0,0,0,0.0,0
0.0,0,True,False,False,False,False,False,True,False,13,10,0,0,0,0.0,0
0.0,0,False,False,False,True,False,False,False,True,4,17,1,0,0,0.0,0
0.0,0,False,False,False,True,True,False,False,False,3,27,1,0,0,0.0,0
0.0,0,True,False,False,False,False,True,False,False,1,23,1,0,0,0.0,0
0.0,0,False,False,True,False,True,False,False,False,23,8,1,0,0,0.0,1
0.0,0,False,False,True,False,False,False,False,True,19,25,0,0,0,0.0,0
0.0,0,False,False,True,False,True,False,False,False,18,16,0,0,0,0.0,0
0.0,0,False,True,False,False,False,False,False,True,3,25,1,0,0,0.0,0
0.0,0,True,False,False,False,True,False,False,False,5,22,1,0,0,0.0,0
0.0,0,True,False,False,False,False,True,False,False,21,14,0,0,0,0.0,0
0.0,0,True,False,False,False,False,False,False,True,17,12,0,0,0,0.0,0
0.0,0,True,False,False,False,True,False,False,False,3,21,1,0,0,0.0,0
0.0,0,False,False,False,True,False,False,False,True,7,27,0,0,0,0.0,0
0.0,0,False,False,True,False,False,False,False,True,20,6,0,0,0,0.0,0
0.0,0,False,False,True,False,False,True,False,False,23,11,1,0,0,0.0,1
0.0,0,False,False,False,True,False,True,False,False,7,17,0,0,0,0.0,0
0.0,0,True,False,False,False,False,False,False,True,11,27,0,0,0,0.0,0
0.0,0,False,False,False,True,False,True,False,False,17,14,0,0,0,0.0,0
0.0,0,False,True,False,False,False,True,False,False,7,14,0,0,0,0.0,0
0.0,0,False,True,False,False,False,True,False,False,13,24,0,0,0,0.0,0
0.0,0,False,True,False,False,True,False,False,False,20,1,0,0,0,0.0,0
0.0,0,False,True,False,False,False,False,False,True,6,3,0,0,0,0.0,0
0.0,0,True,False,False,False,False,True,False,False,18,15,0,0,0,0.0,0
0.0,0,False,False,False,True,False,False,True,False,12,30,0,0,0,0.0,0
0.0,0,False,False,False,True,False,False,False,True,6,8,0,0,0,0.0,0
0.0,0,False,True,False,False,False,False,False,True,12,9,0,0,0,0.0,0
0.0,0,False,False,False,True,False,False,True,False,3,25,1,0,0,0.0,0
0.0,0,False,False,True,False,False,False,False,True,15,1,0,0,0,0.0,0
0.0,0,False,False,False,True,False,False,False,True,3,8,1,0,0,0.0,0
0.0,0,False,True,False,False,False,False,True,False,20,27,0,0,0,0.0,0
0.0,0,False,False,True,False,False,False,True,False,11,29,0,0,0,0.0,0
0.0,0,False,False,True,False,False,False,False,True,22,28,1,0,0,0.0,1
0.0,0,False,False,True,False,False,False,True,False,14,12,0,0,0,0.0,0
0.0,0,False,False,True,False,False,False,True,False,8,24,0,0,0,0.0,0
0.0,0,False,True,False,False,False,False,True,False,12,21,0,0,0,0.0,0
0.5108514190317196,0,False,True,False,False,True,False,False,False,17,12,0,1,0,6.021702838063439,0
0.0,0,False,False,False,True,False,True,False,False,21,6,0,0,0,0.0,0
0.0,0,False,False,False,True,False,False,False,True,6,25,0,0,0,0.0,0
0.0,0,False,False,False,True,True,False,False,False,16,16,0,0,0,0.0,0
0.0,0,False,False,True,False,False,False,False,True,19,1,0,0,0,0.0,0
0.0,0,False,False,False,True,True,False,False,False,21,27,0,0,0,0.0,0
0.0,0,False,False,False,True,False,False,True,False,22,11,1,0,0,0.0,0
0.0,0,False,False,True,False,False,False,False,True,18,7,0,0,0,0.0,0
0.7779632721202003,0,False,True,False,False,False,False,True,False,5,4,1,1,1,6.555926544240401,1
0.0,0,False,False,False,True,True,False,False,False,14,6,0,0,0,0.0,0
0.0,0,False,False,True,False,False,False,True,False,22,21,1,0,0,0.0,0
0.0,0,True,False,False,False,True,False,False,False,2,5,1,0,0,0.0,0
0.0,0,False,True,False,False,True,False,False,False,1,26,1,0,0,0.0,0
0.0,0,False,False,True,False,True,False,False,False,20,12,0,0,0,0.0,0
0.0,0,True,False,False,False,False,False,True,False,10,19,0,0,0,0.0,0
0.0,0,True,False,False,False,False,False,True,False,10,5,0,0,0,0.0,0
0.0,0,False,False,False,True,False,True,False,False,7,10,0,0,0,0.0,0
0.0,0,True,False,False,False,True,False,False,False,11,25,0,0,0,0.0,0
0.0,0,False,True,False,False,True,False,False,False,7,29,0,0,0,0.0,0
0.0,0,True,False,False,False,False,False,False,True,16,3,0,0,0,0.0,0
0.0,0,False,False,True,False,False,True,False,False,10,4,0,0,0,0.0,0
0.0,0,True,False,False,False,True,False,False,False,0,8,1,0,0,0.0,0
0.0,0,False,False,True,False,True,False,False,False,8,27,0,0,0,0.0,0
0.0,0,False,False,True,False,False,False,True,False,18,27,0,0,0,0.0,0
0.0,0,False,False,True,False,False,True,False,False,3,28,1,0,0,0.0,0
0.0,0,False,True,False,False,False,False,True,False,10,4,0,0,0,0.0,0
0.0,0,True,False,False,False,False,False,False,True,16,19,0,0,0,0.0,0
0.0,0,False,True,False,False,False,False,False,True,12,23,0,0,0,0.0,0
0.0,0,False,False,True,False,False,False,True,False,21,17,0,0,0,0.0,0
0.0,0,False,False,True,False,False,False,False,True,6,10,0,0,0,0.0,0
0.0,0,True,False,False,False,False,True,False,False,20,16,0,0,0,0.0,0
0.0,0,False,False,True,False,False,True,False,False,4,21,1,0,0,0.0,0
0.0,0,False,False,True,False,False,False,True,False,19,8,0,0,0,0.0,0
0.0,0,False,False,False,True,False,False,False,True,3,18,1,0,0,0.0,0
0.0,0,False,False,True,False,False,True,False,False,18,27,0,0,0,0.0,0
0.0,0,False,False,False,True,False,False,True,False,4,25,1,0,0,0.0,0
0.0,0,True,False,False,False,False,False,False,True,17,13,0,0,0,0.0,0
0.0,0,False,True,False,False,True,False,False,False,5,4,1,0,0,0.0,0
0.0,0,False,False,True,False,False,False,True,False,0,9,1,0,0,0.0,0
0.0,0,True,False,False,False,False,False,True,False,10,11,0,0,0,0.0,0
0.0,0,False,False,True,False,True,False,False,False,10,17,0,0,0,0.0,0
0.7612687813021703,0,False,True,False,False,True,False,False,False,10,30,0,1,1,6.522537562604341,1
0.0,0,False,False,True,False,False,False,False,True,9,22,0,0,0,0.0,0
0.0,0,False,True,False,False,False,False,False,True,13,23,0,0,0,0.0,0
0.0,0,False,False,True,False,False,False,False,True,8,25,0,0,0,0.0,0
